Date,Observed,ERA5 model
20160914,0.7,7.767507536
20160915,0.7,2.674503839
20160916,1.1,0.991651191
20160917,0,8.32667E-14
20160918,0,0
20160919,0,0
20160920,0,0.002722923
20160921,0,0.154404708
20160922,0,1.008561054
20160923,0,0.015770339
20160924,10.2,8.575420816
20160925,0,0.328472949
20160926,0,0.098644931
20160927,0,0.527684589
20160928,0,0.004083958
20160929,0,0.080182141
20160930,0,1.047789079
20161001,0,0.478974886
20161002,0,0.002349933
20161003,0,0
20161004,0.8,0.258374161
20161005,0,0.001549704
20161006,0,0
20161007,0,0
20161008,0,0.022805268
20161009,0,0.000253403
20161010,0,0
20161011,5.3,9.470591668
20161012,30.8,8.328772113
20161013,3.2,4.385590041
20161014,1.4,1.565016627
20161015,12.4,6.916822247
20161016,8.9,1.966887366
20161017,9.1,10.62836064
20161018,0,0.053405722
20161019,0,0.222700285
20161020,0,0.035324028
20161021,0,0.065598253
20161022,22.2,8.806061052
20161023,9.5,22.90918648
20161024,0,0.696995588
20161025,0,0.361979976
20161026,0,0
20161027,0,0.000261275
20161028,0,0
20161029,0,0.001575511
20161030,0,0.015570906
20161031,0,0.017029677
20161101,0,0.202241109
20161102,0,0.109122444
20161103,0,1.912618682
20161104,5.2,3.456986332
20161105,2.9,7.810993068
20161106,3.1,4.252091222
20161107,3.4,2.450088264
20161108,15.6,10.2738877
20161109,1.8,2.431012735
20161110,1.4,1.256910185
20161111,0.5,1.965273259
20161112,13.3,11.09105073
20161113,0,0.112410111
20161114,0,0
20161115,0,8.32667E-14
20161116,0,8.32667E-14
20161117,1.1,1.14232439
20161118,0.6,1.518949895
20161119,12.4,6.679292859
20161120,38.5,12.03441795
20161121,13.7,17.90947498
20161122,0,0.169754565
20161123,0,0.06533142
20161124,13.3,17.41743257
20161125,0,0.034110719
20161126,0,1.429906997
20161127,0,0.705694655
20161128,0,0.000921245
20161129,0,0.006069937
20161130,0,0
20161201,0,0.087605413
20161202,0,0.001294063
20161203,0.8,0.745171009
20161204,0,0.34800564
20161205,0,0
20161206,0,0
20161207,0,8.32667E-14
20161208,0,0
20161209,0,8.32667E-14
20161210,0,0.007306652
20161211,0,0.005094262
20161212,0,0.003121914
20161213,0,0.357852079
20161214,22.7,17.15847302
20161215,14.8,12.8415274
20161216,2.1,5.360156573
20161217,0,0.015240986
20161218,0,0
20161219,0,0.040854156
20161220,2.2,0.571740179
20161221,0.6,0.409663621
20161222,2.3,0.86174737
20161223,0.7,0.505591217
20161224,0,0.026069509
20161225,0,0.005013868
20161226,0,0.001734504
20161227,0,0.005911909
20161228,0,0
20161229,0,0
20161230,0,0.000696617
20161231,0,0
20170101,0,0.8923488
20170102,8.1,10.25558368
20170103,3.5,1.118743222
20170104,1.4,0.168019741
20170105,0,0.001429991
20170106,0,0.003676755
20170107,0,0
20170108,0,0
20170109,0,0.000594675
20170110,0.7,0.836445985
20170111,0.8,0.136251324
20170112,1.9,1.582421443
20170113,2.3,2.105284257
20170114,1.3,0.797018034
20170115,0,0.25786969
20170116,0,0.242928533
20170117,0,0.056902268
20170118,0,0
20170119,0,0
20170120,0,0
20170121,0,0
20170122,0,0.065571681
20170123,0,0.000350649
20170124,0,8.32667E-14
20170125,0.6,0.223743006
20170126,6.2,12.64011342
20170127,16,9.856201674
20170128,8.7,3.594504041
20170129,5.6,9.942761983
20170130,6,3.259032278
20170131,9.8,14.57995413
20170201,13.3,3.058643533
20170202,29.8,25.36318583
20170203,55.1,41.19104443
20170204,46,27.84092425
20170205,2.7,5.853214532
20170206,17.8,8.632391535
20170207,0.9,2.14211009
20170208,0,0.001037566
20170209,4.5,5.357657065
20170210,3.2,0.74278747
20170211,0,0.107986781
20170212,6.4,7.427374018
20170213,9,7.742007712
20170214,20.1,6.976716212
20170215,2.4,1.802412161
20170216,0,0.109817563
20170217,0,0.296632985
20170218,5.3,9.445459853
20170219,0,0.00064719
20170220,0,0.002259356
20170221,0,0
20170222,0,0.000850725
20170223,0,0.090184386
20170224,0,0.026991108
20170225,0,0.019001686
20170226,0,1.026191752
20170227,4.4,3.744789529
20170228,5.8,8.226847372
20170301,9.6,3.086833731
20170302,15,9.649015543
20170303,25.4,18.76506677
20170304,2.8,3.26961318
20170305,6.6,6.297797959
20170306,3.8,2.475213179
20170307,0.5,1.176990601
20170308,0,0.042097816
20170309,0,0
20170310,0,0
20170311,1.2,2.007719459
20170312,6.7,5.409683374
20170313,0.3,0.51294564
20170314,0,0
20170315,0,0.000281767
20170316,0,0.016159057
20170317,0,0.004310213
20170318,0,0
20170319,0,0.001758418
20170320,0,0.100037443
20170321,15.2,13.45718568
20170322,14.7,15.95961547
20170323,20.6,7.699875485
20170324,1.9,1.253356381
20170325,0,0.091139269
20170326,11.7,6.625765726
20170327,4.8,2.763971144
20170328,0.6,1.728700393
20170329,0,0.004964896
20170330,12.2,3.72314006
20170331,17.9,16.63155373
20170401,0.4,2.077676574
20170402,0,0.050977225
20170403,0,0
20170404,0,0.001704144
20170405,0,8.32667E-14
20170406,0,0
20170407,0,0
20170408,0,8.32667E-14
20170409,0,0
20170410,0,0.040399481
20170411,0,0
20170412,0,0.004250034
20170413,0,0.011096068
20170414,0,0.285600198
20170415,0,0.016868034
20170416,0,0
20170417,0,0.161944407
20170418,0,0.223513484
20170419,0,0.010336439
20170420,0,0.208231747
20170421,0,0
20170422,0,0.023914299
20170423,0,0.001381254
20170424,0,0
20170425,1.2,4.640586624
20170426,0,0.687518692
20170427,0,0.047294001
20170428,0,8.32667E-14
20170429,3,1.250903303
20170430,23,20.30359849
20170501,0,0.170450912
20170502,0,0
20170503,0,0
20170504,0,0.665165921
20170505,18.6,19.69274255
20170506,0.7,7.661147778
20170507,0,0.020945062
20170508,0,0.02455211
20170509,0.9,5.943894503
20170510,26,16.92266391
20170511,56.1,19.90119471
20170512,28,17.46755787
20170513,43.8,23.1735672
20170514,5.5,0.983592037
20170515,0,0.124655775
20170516,0,0.599540586
20170517,1.5,2.791565554
20170518,0,1.449033831
20170519,0,0.82380374
20170520,0,0.036016607
20170521,0,0.143616831
20170522,0.3,0.006353512
20170523,0,0
20170524,0,0.253088375
20170525,3.1,0.012868837
20170526,16,26.9139555
20170527,0,1.189474371
20170528,8.1,2.852936105
20170529,3.6,3.640173383
20170530,0,0.087716594
20170531,0,0.013566128
20170601,0,0.024987556
20170602,0,0.518080712
20170603,0,0.443613025
20170604,0,0.80224412
20170605,6.2,2.990456184
20170606,0,0.514705246
20170607,0,0
